Company Name,Sector,Market Price,52 Weeks High - Low,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share,G.N,price above GN
Saptakoshi Development Bank Ltd (SAPDBL),Development Bank Limited,348.00,540.00-155.00,-7.8,-44.56,99.86,3.48,"5.04
                                
                                    (FY:074-075)","3.00
                                
                                    (FY:074-075)","1:1.3
                                
                                    (FY:072-073)",0,0
Sunrise Bluechip Fund (SBCF),Mutual Fund,8.97,11.29-8.18,0.00,0.00,0.00,8.97,,,,0.0,0
8.5% Sanima Debenture 2087 (SBD87),Corporate Debenture,873.10,"1,010.00-873.10",0.00,0.00,0.00,873.10,,,,0.0,0
Nepal SBI Bank Limited (SBI),Commercial Banks,374.00,463.00-331.30,15.9,23.48,166.74,2.24,"1.81
                                
                                    (FY:077-078)","3.50
                                
                                    (FY:077-078)",,244.23602314155053,53.13056411143858
Siddhartha Bank Limited (SBL),Commercial Banks,427.00,605.00-384.00,25.1,16.95,171.25,2.49,"0.75
                                
                                    (FY:077-078)","14.25
                                
                                    (FY:077-078)",,310.98784140220016,37.30440330873305
10.50% SBL Debenture 2082 (SBLD2082),Corporate Debenture,"1,078.00","1,134.00-1,005.00",0.00,0.00,0.00,"1,078.00",,,,0.0,0
Standard Chartered Bank Limited (SCB),Commercial Banks,482.50,656.00-434.00,23.0,20.93,180.28,2.68,"3.06
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)",,305.4421385467303,57.967725833670855
Sadhana Laghubitta Bittiya Sanstha Limited (SDLBSL),Microfinance,"1,314.00","2,079.00-1,026.00",47.1,27.85,142.62,9.21,"1.32
                                
                                    (FY:077-078)","25.00
                                
                                    (FY:077-078)","1:1
                                
                                    (FY:074-075)",388.76926961888336,237.98967734464586
Siddhartha Equity Fund (SEF),Mutual Fund,11.02,17.04-10.01,0.00,0.00,0.00,0.00,"11.00
                                
                                    (FY:075-076)",,,0.0,0
Samriddhi Finance Company Limited (SFCL),Finance,382.10,720.00-196.00,1.47,259.93,81.93,4.66,,,"2:1
                                
                                    (FY:078-079)",52.05607313272871,634.0161810241617
Sunrise First Mutual Fund (SFMF),Mutual Fund,11.75,20.00-10.21,0.00,0.00,0.00,11.75,,,,0.0,0
Sanima General Insurance Company Limited (SGI),Non-Life Insurance,624.00,900.00-474.00,11.6,53.70,111.18,5.61,,,,170.34664657691388,266.3118778908602
Singati Hydro Energy Limited (SHEL),Hydro Power,474.00,650.00-306.00,2.53,187.35,104.42,4.54,,,,77.0980447222885,514.8015837591922
Shine Resunga Development Bank Ltd. (SHINE),Development Bank Limited,413.00,655.00-251.00,18.4,22.38,136.33,3.03,"0.57
                                
                                    (FY:077-078)","10.93
                                
                                    (FY:077-078)","2:1
                                
                                    (FY:069-070)",237.57234687564122,73.84178143266293
SHIVAM CEMENTS LTD (SHIVM),Manufacturing And Processing,"1,400.00","1,910.00-1,027.00",19.4,72.09,203.59,6.88,"29.00
                                
                                    (FY:077-078)",,,298.1057446611856,369.6320098061783
Soaltee Hotel Limited (SHL),Hotels And Tourism,212.00,321.00-182.00,-1.0,-212.00,16.75,12.66,,,,0,0
Sanima Mai Hydropower Ltd. (SHPC),Hydro Power,435.00,675.00-326.00,24.0,18.09,124.25,3.50,"0.53
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)",,259.0270256170194,67.93614448677756
Sagarmatha Insurance Co. Ltd. (SIC),Non-Life Insurance,"1,319.00","1,890.00-1,008.00",31.9,41.24,149.88,8.80,"0.58
                                
                                    (FY:076-077)","11.00
                                
                                    (FY:076-077)",,327.9883686962085,302.1484070435719
Shikhar Insurance Co. Ltd. (SICL),Non-Life Insurance,"1,455.00","3,021.00-1,387.00",21.2,68.44,130.34,11.16,"1.46
                                
                                    (FY:076-077)","27.76
                                
                                    (FY:076-077)",,249.34349801027497,483.5323606232725
Shree Investment Finance Co. Ltd. (SIFC),Finance,445.10,741.00-211.00,9.64,46.17,134.12,3.32,,,(FY:10:8.3),170.5597490617291,160.96426762383962
Siddhartha Investment Growth Scheme - 2 (SIGS2),Mutual Fund,11.25,16.87-10.15,0.00,0.00,0.00,0.00,,,,0.0,0
Siddhartha Insurance Ltd. (SIL),Non-Life Insurance,996.00,"1,376.00-732.00",25.2,39.51,136.29,7.31,"0.79
                                
                                    (FY:077-078)","15.00
                                
                                    (FY:077-078)",,277.9863845586686,258.29092909757094
Sindhu Bikash Bank Ltd (SINDU),Development Bank Limited,401.00,618.00-177.00,12.7,31.43,119.51,3.36,,,"10:8
                                
                                    (FY:072-073)",184.7971387765514,116.99470167926766
SANJEN JALAVIDHYUT COMPANY LIMITED (SJCL),Hydro Power,394.00,550.00-281.00,-0.9,-437.78,94.43,4.17,,,,0,0
